what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1385692560759
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1385692560759
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1385692560759
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1385692560759
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1385692560759
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1385692560759
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1385692560759
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1385692560759
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1385692560759
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1385692560759
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1385692560772
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1385692560772
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1385692560772
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1385692560772
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1385692560772
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1385692560772
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1385692560772
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1385692560772
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1385692560772
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1385692560772
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1385692560772
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1385692560772
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1385692560772
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1385692560773
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1385692560773
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1385692560773
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1385692560773
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1385692560773
os,sysinfo,,,"win32",1385692560775
arch,sysinfo,,,"x86",1385692560775
ws,sysinfo,,,"win32",1385692560775
locale,sysinfo,,,"en_US",1385692560775
processors,sysinfo,,,"4",1385692560775
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1385692560775
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1385692560775
java.specification.name,sysinfo,,,"Java Platform API Specification",1385692560775
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1385692560775
java.specification.version,sysinfo,,,"1.6",1385692560775
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1385692560775
java.version,sysinfo,,,"1.6.0_23",1385692560775
java.vm.info,sysinfo,,,"mixed mode",1385692560775
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1385692560775
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1385692560775
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1385692560775
java.vm.specification.version,sysinfo,,,"1.0",1385692560775
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1385692560775
java.vm.version,sysinfo,,,"19.0-b09",1385692560775
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1385692561065
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1385692561857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385692563387
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1385692563800
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385692576892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385692578461
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385692580348
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385692581098
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385692587100
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385692588656
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1385692589552
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1385692589706
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1385692589710
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1385692590072
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1385692590125
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.gnu.ui",1385692590229
started,bundle,org.eclipse.cdt.msw.build,1.0.0.201202111925,"org.eclipse.cdt.msw.build",1385692590341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385692592419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385693013509
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385693013984
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1385693493749
opened,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1385693497066
activated,editor,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.DefaultTextEditor",1385693497139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1385693498639
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1385693500566
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1385693502665
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1385693503025
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1385693503044
